"Date","Price","Open","High","Low","Change %"
"May 18, 1992","0.5446","0.5446","0.5446","0.5446","-0.69%"
"May 15, 1992","0.5484","0.5484","0.5484","0.5484","-0.20%"
"May 14, 1992","0.5495","0.5495","0.5495","0.5495","-0.36%"
"May 13, 1992","0.5515","0.5515","0.5515","0.5515","-0.31%"
"May 12, 1992","0.5532","0.5532","0.5532","0.5532","-0.81%"
"May 11, 1992","0.5577","0.5577","0.5577","0.5577","-0.29%"
"May 08, 1992","0.5593","0.5593","0.5593","0.5593","0.47%"
"May 07, 1992","0.5567","0.5567","0.5567","0.5567","-0.27%"
"May 06, 1992","0.5582","0.5582","0.5582","0.5582","-0.50%"
"May 05, 1992","0.5610","0.5610","0.5610","0.5610","0.02%"
"May 01, 1992","0.5609","0.5609","0.5609","0.5609","-0.57%"
"Apr 30, 1992","0.5641","0.5641","0.5641","0.5641","0.07%"
"Apr 29, 1992","0.5637","0.5637","0.5637","0.5637","0.04%"
"Apr 28, 1992","0.5635","0.5635","0.5635","0.5635","0.25%"
"Apr 27, 1992","0.5621","0.5621","0.5621","0.5621","-0.43%"
"Apr 24, 1992","0.5645","0.5645","0.5645","0.5645","-0.42%"
"Apr 23, 1992","0.5669","0.5669","0.5669","0.5669","-0.23%"
"Apr 22, 1992","0.5682","0.5682","0.5682","0.5682","-0.53%"
"Apr 21, 1992","0.5712","0.5712","0.5712","0.5712","-0.21%"
"Apr 16, 1992","0.5724","0.5724","0.5724","0.5724","0.85%"
"Apr 15, 1992","0.5676","0.5676","0.5676","0.5676","0.44%"
"Apr 14, 1992","0.5651","0.5651","0.5651","0.5651","-0.39%"
"Apr 13, 1992","0.5673","0.5673","0.5673","0.5673","0.55%"
"Apr 10, 1992","0.5642","0.5642","0.5642","0.5642","-1.42%"
"Apr 09, 1992","0.5723","0.5723","0.5723","0.5723","0.18%"
"Apr 08, 1992","0.5713","0.5713","0.5713","0.5713","-0.23%"
"Apr 07, 1992","0.5726","0.5726","0.5726","0.5726","0.28%"
"Apr 06, 1992","0.5710","0.5710","0.5710","0.5710","-0.54%"
"Apr 03, 1992","0.5741","0.5741","0.5741","0.5741","-0.67%"
"Apr 02, 1992","0.5780","0.5780","0.5780","0.5780","-0.33%"
"Apr 01, 1992","0.5799","0.5799","0.5799","0.5799","0.61%"
"Mar 31, 1992","0.5764","0.5764","0.5764","0.5764","-0.19%"
"Mar 30, 1992","0.5775","0.5775","0.5775","0.5775","0.36%"
"Mar 27, 1992","0.5754","0.5754","0.5754","0.5754","-0.69%"
"Mar 26, 1992","0.5794","0.5794","0.5794","0.5794","0.16%"
"Mar 25, 1992","0.5785","0.5785","0.5785","0.5785","-0.57%"
"Mar 24, 1992","0.5818","0.5818","0.5818","0.5818","0.09%"
"Mar 23, 1992","0.5813","0.5813","0.5813","0.5813","-1.14%"
"Mar 20, 1992","0.5880","0.5880","0.5880","0.5880","0.67%"
"Mar 19, 1992","0.5841","0.5841","0.5841","0.5841","0.99%"
"Mar 18, 1992","0.5784","0.5784","0.5784","0.5784","0.29%"
"Mar 17, 1992","0.5767","0.5767","0.5767","0.5767","-0.98%"
"Mar 16, 1992","0.5824","0.5824","0.5824","0.5824","-0.34%"
"Mar 13, 1992","0.5844","0.5844","0.5844","0.5844","-0.32%"
"Mar 12, 1992","0.5863","0.5863","0.5863","0.5863","1.17%"
"Mar 11, 1992","0.5795","0.5795","0.5795","0.5795","-0.40%"
